,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
458,209.000 ₫,-23%,1138,5000+,4.7,479129,1,0
459,433.000 ₫,-20%,406,2805,4.7,479129,1,4.9
460,458.000 ₫,-20%,389,2692,4.7,479129,1,4.9
461,77.000 ₫,0,0,15,4.2,479,2,0
462,181.000 ₫,-20%,275,2297,4.7,479129,1,4.9
463,25.000 ₫,0,384,5000+,4.6,153,0,4.9
464,114.000 ₫,-10%,2659,5000+,4.7,479129,1,0
465,353.000 ₫,-22%,151,1040,4.7,479129,1,4.9
466,105.000 ₫,-13%,163,2041,4.7,479129,1,4.9
467,114.000 ₫,-10%,2659,5000+,4.7,479129,1,4.8
468,211.000 ₫,-22%,1107,5000+,4.7,479129,1,4.8
469,211.000 ₫,-22%,1107,5000+,4.7,479129,1,4.8
470,358.000 ₫,-21%,128,860,4.7,479129,1,4.9
471,151.000 ₫,-18%,756,5000+,4.7,479129,1,4.8
472,66.100 ₫,-11%,61,633,4.7,479129,1,5
473,73.000 ₫,-6%,380,3535,4.7,479129,1,4.7
474,150.000 ₫,-6%,5,27,4.8,34,1,5
475,200.000 ₫,0,10,55,4.5,247,1,4.1
476,91.000 ₫,0,9,32,4.6,9,1,4.9
477,90.000 ₫,0,17,107,4.7,7,2,4.8
478,8.200 ₫,0,0,7,4.3,54,0,0
479,75.000 ₫,0,7,51,4.4,12,1,4.9
480,105.000 ₫,0,7,55,4.6,31,2,4.9
481,56.000 ₫,0,3,20,5.0,1,1,5
482,95.000 ₫,0,7,34,4.5,16,1,3.9
483,69.000 ₫,-19%,19,82,4.4,36,1,4.4
484,75.000 ₫,0,0,0,4.8,175,5,0
485,12.320 ₫,-12%,3,45,4.8,78,0,5
486,649.000 ₫,-50%,0,0,4.7,645,4,0
487,51.500 ₫,0,26,232,4.4,2150,1,4.6
488,82.000 ₫,-18%,11,87,4.7,110,3,5
489,25.000 ₫,-36%,216,1294,4.9,1433,2,4.8
490,224.600 ₫,0,18,197,4.8,616,2,5
491,115.200 ₫,-20%,7,58,4.7,1536,2,5
492,49.000 ₫,-11%,7,15,4.5,400,4,0
493,99.000 ₫,0,3,15,4.6,649,12,5
494,3.500 ₫,0,9,120,4.8,1331,0,5
495,44.000 ₫,0,23,164,4.6,318,0,4.3
496,160.000 ₫,-18%,29,165,4.7,581,4,4.8
497,175.000 ₫,-50%,3,1347,4.7,645,4,5
498,83.000 ₫,-31%,14,152,4.4,69,2,4.8
499,205.000 ₫,0,8,30,4.5,1740,1,4.9
500,299.000 ₫,0,5,33,4.7,645,4,5
501,69.000 ₫,-22%,26,291,4.4,2560,3,0
502,220.000 ₫,0,27,189,4.5,41,2,4.6
503,34.040 ₫,-8%,15,329,4.5,138,0,4.9
504,297.800 ₫,-50%,43,204,4.7,645,4,4.8
505,29.000 ₫,0,13,360,4.6,698,1,4.5
506,125.000 ₫,-34%,5,22,4.5,172,2,3.4
507,279.000 ₫,0,18,444,4.4,91,1,4.5
508,58.000 ₫,0,13,191,4.7,51,1,4.5
509,61.000 ₫,-24%,2,40,4.9,8,1,5
510,109.000 ₫,-50%,0,3,4.7,645,4,0
511,47.000 ₫,-15%,55,342,4.7,581,4,4.7
512,205.000 ₫,-12%,182,976,4.8,2048,3,0
513,11.880 ₫,-1%,11,122,4.3,622,2,4.4
514,245.888 ₫,-38%,2,17,4.5,17,3,5
515,88.000 ₫,0,45,237,4.7,1945,1,4.7
516,38.000 ₫,0,11,77,4.7,1945,0,4.6
517,807.500 ₫,-5%,2,22,4.7,495,3,5
518,88.000 ₫,-20%,26,152,4.7,581,4,0
519,61.000 ₫,0,145,914,4.8,408,1,4.8
520,278.900 ₫,-50%,0,2,4.7,645,4,0
521,35.999 ₫,0,0,2,4.1,88,0,0
522,39.900 ₫,-50%,0,9,4.7,8806,4,0
523,28.999 ₫,0,4,21,4.3,356,0,4
524,145.000 ₫,0,22,84,4.7,1945,1,5
525,104.428 ₫,0,154,962,4.7,645,4,4.8
526,260.100 ₫,-10%,21,141,4.6,649,12,4.8
527,11.998 ₫,0,170,1414,4.3,497,0,4.5
528,559.229 ₫,-30%,2,10,4.6,26,2,0
529,71.000 ₫,-4%,7,78,4.8,5222,2,4.9
530,66.000 ₫,-3%,3,51,4.7,479129,1,5
531,137.997 ₫,-38%,1,8,4.5,17,3,5
532,165.000 ₫,0,6,40,4.7,31,2,5
533,99.000 ₫,-34%,5,19,4.5,58,2,4.8
534,33.000 ₫,0,23,311,4.5,106,0,4.7
535,149.250 ₫,-25%,2,12,4.8,2662,2,5
536,44.950 ₫,0,32,287,4.1,625,0,4.4
537,85.000 ₫,-20%,37,266,4.6,30,2,4.6
538,14.300 ₫,0,0,26,4.7,31,2,0
539,35.000 ₫,0,2,8,4.6,12,2,5
540,83.000 ₫,0,5,52,4.8,408,1,4.8
541,50.000 ₫,0,0,0,4.6,1843,1,0
542,128.000 ₫,-21%,10,41,4.8,277,1,4.8
543,20.000 ₫,-39%,9,552,4.5,172,1,5
